voltage,relative_factor
4.0,0.0105110987965517
3.975,0.021503345733539854
3.95,0.03390080288743034
3.925,0.04788310739383433
3.9,0.0636528605684555
3.875,0.08143856356716939
3.85,0.10149792833056626
3.825,0.12412161178800978
3.8,0.149637427429219
3.775,0.17841509526836002
3.75,0.21087159902685432
3.725,0.2474772281596054
3.7,0.28876239227263356
3.675,0.33532530667190225
3.65,0.3878406604057015
3.625,0.44706939239910465
3.6,0.5138697173350973
3.575,0.5892095610455991
3.55,0.6741805855991742
3.525,0.7700140073066498
3.5,0.8780984368450097
3.475,1.0
3.45,1.1374850305737718
3.425,1.2925456642740853
3.4,1.4674287044363372
3.375,1.6646681778380947
3.35,1.8871220523344958
3.325,2.13801364834714
3.3,2.4209783442521844
3.275,2.7401162524210836
3.25,3.100051629181299
3.225,3.5059998795375504
3.2,3.9638431275411636
3.175,4.480215447309862
3.15,5.06259898968154
3.125,5.719432397361709
3.1,6.460233079482309
3.075,7.29573511731037
3.05,8.23804479933793
