voltage,relative_factor
4.0,0.0424031022489458
3.975,0.09971128449825367
3.95,0.1633145337955026
3.925,0.23390433724746448
3.9,0.3122481389626698
3.875,0.3991976836142387
3.85,0.4956982765085878
3.825,0.6027990608344704
3.8,0.7216644238253225
3.775,0.8535866558414335
3.75,1.0
3.725,1.1624962450989884
3.7,1.3428420313592442
3.675,1.5429980571308999
3.65,1.7651403953770985
3.625,2.0116841516854205
3.6,2.2853097210140825
3.575,2.588991928633264
3.55,2.9260323720783994
3.525,3.3000953157334316
3.5,3.7152475282857726
3.475,4.176002496161045
3.45,4.68736949362098
3.425,5.254908043008884
3.4,5.884788357227922
3.375,6.583858421576117
3.35,7.359718444243604
3.325,8.220803484889498
3.3,9.17647515962652
3.275,10.237123419419303
3.25,11.414279508419249
3.225,12.720741330305765
3.2,14.170712585602157
3.175,15.779957192650803
3.15,17.565970671094323
3.125,19.548170351124476
3.1,21.748106476430607
3.075,24.18969649593528
3.05,26.899485091508883
